sport,league,game_id,a_team,h_team,cur_time,lms_date,lms_time,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_ml,h_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
BASE,MLB,5264237,New York Mets,San Diego Padres,1557100923.1597111,2019-05-01,19:56:11-0400,0,-1,0,0,0,0,0,-104767.99000000954,1557090232.01,12,-120,100,1.833333,2.00,0,0,0,0,0,0,-115,-105,1.870,1.952381,6.5,6.5,1557195000.0
BASE,MLB,5263629,Atlanta Braves,Los Angeles Dodgers,1557100923.159831,2019-05-04,22:55:21-0400,0,-1,0,0,0,0,0,-96409.78399991989,1557098590.216,10,+125,-145,2.250,1.690,0,0,0,0,0,0,100,-120,2.00,1.833333,7.5,7.5,1557195000.0
BASE,MLB,5263628,Kansas City Royals,Houston Astros,1557100923.1599126,2019-05-04,22:55:21-0400,0,-1,0,0,0,0,0,-88787.56999993324,1557099012.43,12,+225,-270,3.250,1.370,0,0,0,0,0,0,-120,100,1.833333,2.00,7.5,7.5,1557187800.0
BASE,MLB,5263899,Philadelphia Phillies,St. Louis Cardinals,1557100923.1599782,2019-05-01,19:56:11-0400,0,-1,0,0,0,0,0,-97267.9960000515,1557090232.004,12,+115,-135,2.150,1.741,0,0,0,0,0,0,-120,100,1.833333,2.00,8.5,8.5,1557187500.0
BASE,MLB,5264067,Miami Marlins,Chicago Cubs,1557100923.160053,2019-05-01,19:56:11-0400,0,-1,0,0,0,0,0,-87513.43400001526,1557099986.566,1,+205,-240,3.050,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,1557187500.0
BASE,MLB,5263900,Washington Nationals,Milwaukee Brewers,1557100923.160133,2019-05-01,19:56:11-0400,0,-1,0,0,0,0,0,-85471.79099988937,1557100528.209,12,-117,-103,1.855,1.971,0,0,0,0,0,0,-120,100,1.833333,2.00,7.5,7.5,1557186000.0
BASE,MLB,5263868,Minnesota Twins,Toronto Blue Jays,1557100923.160198,2019-05-01,19:56:11-0400,0,-1,0,0,0,0,0,-85201.1210000515,1557098818.879,12,-102,-118,1.98,1.847,0,0,0,0,0,0,-115,-105,1.870,1.952381,8.5,8.5,1557184020.0
BASE,MLB,5263837,Seattle Mariners,New York Yankees,1557100923.160268,2019-04-30,20:26:14-0400,0,-1,0,0,0,0,0,-81735.05999994278,1557100364.94,12,+143,-166,2.43,1.602,0,0,0,0,0,0,100,-120,2.00,1.833333,9.5,9.5,1557182100.0
BASE,MLB,5263627,Chicago White Sox,Cleveland Indians,1557100923.1603324,2019-04-30,20:26:14-0400,0,-1,0,0,0,0,0,-80357.13499999046,1557100242.865,12,+210,-250,3.100,1.400,0,0,0,0,0,0,-105,-115,1.952381,1.870,8.5,8.5,1557180600.0
BASE,MLB,5263123,San Francisco Giants,Cincinnati Reds,1557100923.160406,2019-04-29,19:17:56-0400,0,-1,0,0,0,0,0,-60944.34800004959,1557099555.652,12,+120,-140,2.200,1.714286,0,0,0,0,0,0,-105,-115,1.952381,1.870,8.5,8.5,1557160500.0
BASE,MLB,5261465,St. Louis Cardinals,Chicago Cubs,1557100923.1604724,2019-05-05,20:00:05-0400,3,-1,0,1,1,0,0,3371.7039999961853,1557100871.704,18,+175,-220,2.750,1.454545,0,0,0,0,0,0,-115,-115,1.870,1.870,7.5,7.5,1557097500.0
BASE,MLB,5261467,Minnesota Twins,New York Yankees,1557100923.1605525,2019-05-05,18:55:13-0400,8,-1,1,4,1,0,0,10670.43499994278,1557097370.435,6,+2800,-5000,29.00,1.020,0,0,0,0,0,0,-150,+110,1.666667,2.100,5.5,5.5,1557086700.0
BASE,MLB,5261465,St. Louis Cardinals,Chicago Cubs,1557100939.3542273,2019-05-05,20:00:05-0400,3,-1,0,1,1,0,0,3397.9530000686646,1557100897.953,18,+175,-220,2.750,1.454545,0,0,0,0,0,0,-110,-120,1.909091,1.833333,7.5,7.5,1557097500.0
BASE,MLB,5261465,St. Louis Cardinals,Chicago Cubs,1557100958.2020116,2019-05-05,20:00:05-0400,3,-1,0,1,1,0,0,3408.401999950409,1557100908.402,18,+175,-220,2.750,1.454545,0,0,0,0,0,0,-110,-120,1.909091,1.833333,7.5,7.5,1557097500.0
